,Team,Year,Salary,Efficiency,Record,WinPer
282,SAC,2014,83298228,174.8,28-54,0.341
283,SAC,2015,75746790,157,29-53,0.354
284,SAC,2016,70610560,154.3,33-49,0.402
285,SAC,2017,113233981,202.8,32-50,0.39
286,SAS,2007,86505037,138.7,58-24,0.707
287,SAS,2008,102311025,143.3,56-26,0.683
288,SAS,2009,75978182,156.5,54-28,0.659
289,SAS,2010,83878942,145.1,50-32,0.61
290,SAS,2011,70610987,142.4,61-21,0.744
291,SAS,2012,88164753,151.2,50-16,0.758
292,SAS,2013,68015116,148,58-24,0.707
293,SAS,2014,63078190,150.6,62-20,0.756
294,SAS,2015,67665244,147,55-27,0.671
295,SAS,2016,92433135,152.4,67-15,0.817
296,SAS,2017,101810189,140,61-21,0.744
297,TOR,2007,36833312,128,47-35,0.573
298,TOR,2008,48519844,131.6,41-41,0.5
299,TOR,2009,92904690,159.7,33-49,0.402
300,TOR,2010,56834320,127.8,40-42,0.488
301,TOR,2011,67281860,182.5,22-60,0.268
302,TOR,2012,55124482,153.4,23-43,0.348
303,TOR,2013,77164667,170.5,34-48,0.415
304,TOR,2014,82953574,152.8,48-34,0.585
305,TOR,2015,71690755,121.6,49-33,0.598
306,TOR,2016,81672439,147.7,56-26,0.683
307,TOR,2017,118771470,161.3,51-31,0.622
308,UTA,2007,60073857,126.9,51-31,0.622
309,UTA,2008,61814579,138.6,54-28,0.659
310,UTA,2009,62141407,145.2,48-34,0.585
311,UTA,2010,72241325,144.9,53-29,0.646
312,UTA,2011,87095448,151.3,39-43,0.476
313,UTA,2012,54767398,127.1,36-30,0.545
314,UTA,2013,53571445,120.5,43-39,0.524
315,UTA,2014,56911999,129.4,25-57,0.305
316,UTA,2015,58635368,154.7,38-44,0.463
317,UTA,2016,58393377,145.3,40-42,0.488
318,UTA,2017,79863192,145.8,51-31,0.622
319,WAS,2007,68978820,139,41-41,0.5
320,WAS,2008,59067377,138.3,43-39,0.524
321,WAS,2009,76997727,166.5,19-63,0.232
322,WAS,2010,94857915,203.7,26-56,0.317
323,WAS,2011,86660034,191.9,23-59,0.28
324,WAS,2012,56609511,158.7,20-46,0.303
325,WAS,2013,49001644,138.2,29-53,0.354
326,WAS,2014,70578122,137,44-38,0.537
327,WAS,2015,74123205,132.3,46-36,0.561
328,WAS,2016,72026004,155.1,41-41,0.5
329,WAS,2017,111274420,156.4,49-33,0.598
